sdist,state,n_women,hygienic_rate,ctx_temp_hot3_mean,ctx_heat_days_12mo,ctx_Aridity_2015,ctx_v113,ctx_v116,ctx_v190,predicted_rate,raw_need_rank,adjusted_gap,adjusted_need_rank,underperforming,state_name,district_name
861,24,291,0.16490705047469265,31.93490125954273,37.42636631516278,8.379071239171783,21.80680960862435,17.197276397766302,4.179452490195428,0.4840628669334592,61,-0.31915581645876656,7,True,gujarat,rajkot
232,10,554,0.1649728348395358,32.73642819314473,57.56563988047683,20.55415412307078,24.253334313641496,23.356274054765017,2.5659155046033435,0.28329261731463246,62,-0.11831978247509667,251,True,bihar,buxar
1,1,405,0.1659482714626776,21.495697895059877,43.774780572732226,41.276927760251375,18.77979629833468,21.548675530245365,2.742975161722552,0.36390713107387856,63,-0.19795885961120097,72,True,jammu & kashmir,kupwara
273,14,227,0.16596596373890946,23.93255042491852,63.492011718381725,61.76385052896135,33.4902788760572,18.29958590559512,1.7912229532338482,0.39775113729125544,64,-0.23178517355234599,38,True,manipur,tamenglong
148,9,517,0.1660308393960252,33.29303370175718,,13.209040916234596,23.093689633612247,23.29661625535031,2.729799964304924,0.3099503281189331,65,-0.14391948872290788,177,True,uttar pradesh,mainpuri
151,9,424,0.1666297913456084,30.927173149634648,,23.875185937967505,22.51492866339358,17.669693512515188,2.7935840554649576,0.27913008407637646,66,-0.11250029273076806,268,True,uttar pradesh,pilibhit
459,23,297,0.16748321637018151,32.809011825892355,8.316843872550379,17.221030408605948,21.642573889873553,23.499617321335393,2.1787005403458344,0.30579690124057507,67,-0.13831368487039356,194,True,madhya pradesh,ashoknagar
426,23,394,0.16802085409679074,32.92778002380717,41.26793573820804,18.067789798924302,25.09149098614959,26.929162064716518,1.8529592565507387,0.25882319589656694,68,-0.0908023417997762,340,True,madhya pradesh,panna
397,21,366,0.16891258680470456,29.709099675571746,9.096626743493946,32.38120309833729,21.325537637406246,24.04462246590959,1.6007219340405117,0.35279465936005017,69,-0.1838820725553456,92,True,odisha,nabarangapur
183,9,560,0.17006801142796196,31.06220624758188,54.47877769574659,21.907672057627618,23.912859644167174,29.134543786624363,2.409229057332343,0.27525205011032805,70,-0.10518403868236609,288,True,uttar pradesh,gonda
211,10,412,0.172402617400884,28.99187800975613,46.99848107382394,42.72754134770375,26.611646254556852,27.66294302782563,1.6710618208867298,0.3080662432666512,71,-0.13566362586576722,206,True,bihar,purnia
152,9,503,0.17249724831469565,31.584512303033556,,18.472487391016383,24.807753561772124,21.796605715522258,2.7854363373078628,0.28372370655157303,72,-0.11122645823687738,274,True,uttar pradesh,shahjahanpur
17,1,413,0.1730544365684394,21.61675497578807,38.10166292842629,40.741247076483894,25.89987282463594,26.81854863305736,2.249569073687878,0.3358915438232624,73,-0.162837107254823,130,True,jammu & kashmir,ramban
411,22,388,0.17330994836404204,33.077262813123994,45.89304919974175,26.020815508114826,18.009715282205107,20.877982798909834,2.4667787481754844,0.40546499044011824,74,-0.2321550420760762,37,True,chhattisgarh,mahasamund
487,24,282,0.17348633391879123,31.835938236773842,48.349432819737,16.522344848849784,21.15692834459659,24.61891279281511,2.2931725576068556,0.29473420839465764,75,-0.12124787447586641,244,True,gujarat,narmada
